input_text	target_text
Él era más feliz durante esto tiempo	Él era más feliz durante este tiempo
Esto período de sus pinturas son llamados el “Periodo Rosa.” Picasso es el padre de Cubanism	Este período de sus pinturas se llama el “Periodo Rosa.” Picasso es el padre del cubismo
Cubansim es cuando los objectos están deconstruido y reconstruido en la figura abstracto y creativo mediante formas geométricas	El cubismo es cuando los objetos son desmontados y reconstruidos en la figura abstracta y creativa mediante formas geométricas
Cubanism crea muy diferente opiniones entre las personas diferentes	El cubismo crea opiniones muy diferentes entre las personas diferentes
Durante el tiempo de Picasso, este arte expression nuevo fue muy chocante y interesante a la comunidad arte porque era muy diferente	Durante el tiempo de Picasso, este arte de expresión nuevo fue muy chocante e interesante para la comunidad de arte porque era muy diferente
Uno de sus pinturas Cubanism más famosas es llamado, “Les Demolselles d’Avignon”, cual él pinté en 1907	Una de sus pinturas del cubismo más famosas se llama “Les Demolselles d’Avignon”, lo cual él pintó en 1907
Pablo Picasso fue noventa y uno fue él murió en 1973 en Mougins, France	Pablo Picasso tenía noventa y un años cuando él murió en 1973 en Mougins, France
Picasso era una artista influyente y es conocida por frecuentemente cambiando su estilo de pintura	Picasso era un artista influyente y es conocido por sus frecuentes cambios en su estilo de pintura
Cada de sus estilos de pinturas eran todos muy diferentes unos de otros	Cada uno de sus estilos de pinturas era muy diferente
Picasso argumentaba que sus varias técnicas fueron porque su análisis imparcial de la técnica mejor a mejor crear su deseado efecto	Picasso argumentaba que utilizaba varias técnicas porque su análisis imparcial de la técnica crea su deseado efecto
Por ultimo, Picasso era una artista asombroso y su legado siempre será recordado.	Por último, Picasso era un artista asombroso y su legado siempre se recordará.
A mí me gusta Taylor Swift	A mí me gusta Taylor Swift
Ella es famosa, activo y extrovertido	Ella es famosa, activa y extrovertida
Ella también tiene muy pasión de la música	Ella también tiene mucha pasión por la música
Ella es de los Estado unidos y es una buena cantante	Ella es de los Estados Unidos y es una buena cantante
En lo que respecta a su descripción física, es alta, joven y delgada	En cuanto a su descripción física, es alta, joven y delgada
Ella tiene rubio pelo y azul ojos	Ella tiene pelo rubio y ojos azules
Su cumpleaños es el trece de diciembre de 1989	Su cumpleaños es el trece de diciembre de 1989
Ella tiene veintisiete años	Ella tiene veintisiete años
Normalmente, ella escucha canción y cantar	Normalmente, ella escucha las canciones y canta
Ella también hace ejercicio	Ella también hace ejercicio
Taylor Swift tiene uno hermano	Taylor Swift tiene un hermano
Su hermano se llama Austin	Su hermano se llama Austin
Su padre se llama Scott Kingsley Swift y ello es consejero financiero	Su padre se llama Scott Kingsley Swift y él es consejero financiero
Su madre se llama Andrea Gardner Swift y ella es ama de casa	Su madre se llama Andrea Gardner Swift y ella es ama de casa
Alguna gente dice su padre es arrogante para sus obreros, pero Scott Swift es muy comprensivo para su hija y Taylor Swift es muy trabajadora y ambiciosa	Alguna gente dice que su padre es arrogante con sus obreros, pero Scott Swift es muy comprensivo con su hija y Taylor Swift es muy trabajadora y ambiciosa
Por lo tanto ella es muy exitosa	Por lo tanto ella es muy exitosa
En cuanto a su personalidad, alguna gente dice que es arrogante y tacaña, además de ser poco impaciente	En cuanto a su personalidad, alguna gente dice que es arrogante y tacaña, además de ser un poco impaciente
Muchas personas gusta Taylor Swift, aunque muchas personas dicen su mala personalidad	A muchas personas les gusta Taylor Swift, aunque muchas personas dicen que tiene mala personalidad
Ella puede tocar muchos instrumentos musicales, como voces, guitarra, banjo y piano	Ella puede tocar muchos instrumentos musicales, como la guitarra, el banjo y el piano
Ella también escribe la canción y ella es actriz	Ella también escribe las canciones y ella es actriz
Ella es muy inteligente	Ella es muy inteligente
Ella tuvo muchos ex novios	Ella tuvo muchos ex novios
Ella muy fascinante	Ella es muy fascinante
Las personalidades de sus exnovios son moderno, complejo, activo, impulsivo, generoso, serio, responsable, etcétera	Sus exnovios son modernos, complejos, activos, impulsivos, generosos, serios, responsables, etcétera
Ella tiene muchas original canción	Ella tiene muchas canciones originales
Ella también ganó muchos premios	Ella también ganó muchos premios
Finalmente, a mí me muy gustan sus canción, como “Blank Space,” “Bad Blood” y “We Are Never Ever Getting Back Together.”	Finalmente, a mí me gustan mucho sus canciones “Blank Space,” “Bad Blood” y “We Are Never Ever Getting Back Together.”
Justin Randall Timberlake es un cantante, actor popular, bailarín, y productor de discos	Justin Randall Timberlake es un cantante, actor popular, bailarín, y productor de discos
Él es de Memphis, Tennessee	Él es de Memphis, Tennessee
Su cumpleaños es el treinta primero de enero	Su cumpleaños es el treinta y uno de enero
Él tiene treinta y seis años	Él tiene treinta y seis años
Estaba en una relación con Britney Spears, Veronica Finn, Jenna Dewan, Aylssa Milano, y Cameron Diaz	Estaba en una relación con Britney Spears, Veronica Finn, Jenna Dewan, Aylssa Milano, y Cameron Diaz
Fue primer beso de Britney Spears	Su primer beso fue de Britney Spears
Él ganó un Grammy para un canción, Cry me a River	Él ganó un Grammy para una canción, Cry me a River
Escribió un canción por que Britney Spears, su primer amor	Escribió una canción para Britney Spears, su primer amor
También ganó cuatro Emmys	También ganó cuatro Emmys
Ganó un premio por recibir Saturday Night Live	Ganó un premio por su rol en Saturday Night Live
Está casado	Está casado
Su esposa es Jessica Biel	Su esposa es Jessica Biel
Él es muy alto, guapo, atlectico, comico, generoso, simpatico, artístico	Él es muy alto, guapo, atlético, cómico, generoso, simpático, y artístico
Tiene los ojos azules	Tiene los ojos azules
Tiene dos hermanos y una hermana	Tiene dos hermanos y una hermana
Él cantó con N’Sync con Chris Kirkpatrick, Joey Fatone, Lance Bass y JC Chasez	Él cantó con N’Sync con Chris Kirkpatrick, Joey Fatone, Lance Bass y JC Chasez
También actuó en muchas películas	También actuó en muchas películas
Mi película favorita de él fue “Friends with Benefit.” Él fue muy comico y joven	Mi película favorita de él fue “Friends with Benefits.” Él fue muy cómico y joven
Él también estaba en la pelicula, In Time, The Social Network, Bad Teacher, y muchas más	Él también estaba en la película, In Time, The Social Network, Bad Teacher, y muchas más
Él tiene su propia marca de tequila llamada 901	Él tiene su propia marca de tequila llamada 901
Él juegó al golf	Él jugó al golf
Juega al basquetbol regularmente	Juega al basquetbol regularmente
Su patrimonio neto es de cien millones de dólares	Su salario neto es cien millones de dólares
Su canción, Sexy Back, Suit and Tie, y Mirror era muy popular	Su canción, Sexy Back, Suit and Tie, y Mirror era muy popular
Él tomó lessiones de guitarra por tres semanas	Él tomó clases de guitarra por tres semanas
Pensó que era aburrido	Pensó que era aburrido
Su película favorita es Ferris Bueller’s Day Off	Su película favorita es Ferris Bueller’s Day Off
Espero que actúe en más películas en el futuro porque es realmente Bueno como lo que hace	Espero que actúe en más películas en el futuro porque es realmente bueno lo que hace
Recuerdo que mucha gente le gustaba cuando estaba en la escuela secundaria.	Recuerdo que a mucha gente le gustaba cuando estaba en la escuela secundaria.
Donald Trump es es un político y un empresario	Donald Trump es un político y un empresario
Donald Trump tiene 70 años	Donald Trump tiene 70 años
Su Fecha de nacimiento es 14 de junio de 1946	Su fecha de nacimiento es el 14 de junio de 1946
Donald tiene cinco hijos	Donald tiene cinco hijos
Sus hijos son Ivanka Trump, Tiffany Trump, Eric Trump, Donald Trump Jr	Sus hijos son Ivanka Trump, Tiffany Trump, Eric Trump, Donald Trump Jr
y Barron Trump	y Barron Trump
Su esposa es Melania Trump	Su esposa es Melania Trump
Su padre es Fred Trump y su madre es Mary Anne MacLeod Trump	Su padre es Fred Trump y su madre es Mary Anne MacLeod Trump
Donald es muy activo y interesante	Donald es muy activo e interesante
Donald tiene el pelo rubio y ojos azules	Donald tiene el pelo rubio y ojos azules
Donald es muy trabajador y feo	Donald es muy trabajador y feo
Donald vive en New York y trabaja en Washington DC	Donald vive en New York y trabaja en Washington DC
Donald gusta chicas muy bonita y le gusta hablar en televisión	A Donald le gustan las chicas muy bonitas y le gusta hablar en televisión
Donald no le gusta China y México porque mucho chinos y mexicanos trabajan en América	A Donald no le gusta China ni México porque muchos chinos y mexicanos trabajan en América
Donald tiene mucho dineros	Donald tiene mucho dinero
El tiene 3500 millones USD	Él tiene 3500 millones USD
Donald estudió en Universidad de Fordham y Universidad de Pennsylvania	Donald estudió en la Universidad de Fordham y la Universidad de Pennsylvania
En 2001, Donald terminó la Trump World Tower	En 2001, Donald completó la Trump World Tower
Trump Tower es muy grande	Trump Tower es muy grande
Trump Tower tiene 72 pisos	Trump Tower tiene 72 pisos
Trump Tower tiene los cafés, el hotel y mucho oficinas	Trump Tower tiene cafés, hotel y muchas oficinas
Donald se despierta a las 6 por la mañana y se ducha a las 7 por la mañana	Donald se despierta a las 6 por la mañana y se ducha a las 7 por la mañana
El desayuna a las 8 y va al trabajo a las 9 en el Whitehouse	Él desayuna a las 8 y va al trabajo a las 9 en la casa blanca
Donald le gusta comida de mar y le gusta comer en la Trump World Tower	A Donald le gustan los mariscos y le gusta comer en la Trump World Tower
Donald le gusta jugar el golf y el fútbol de americano	A Donald le gusta jugar el golf y el fútbol americano
Donald juega el fútbol de americano en Universidad de Fordham	Donald juega el fútbol de americano en la Universidad de Fordham
Donald es el Presidente de Estados Unidos de 2016 al 2020	Donald es el Presidente de Estados Unidos de 2016 al 2020
Mucha gente no les gusta Donald porque Donald es muy estupido.	A mucha gente no le gusta Donald porque Donald es muy estúpido.
Marie Curie fue una científica muy importante y famosa	Marie Curie era una científica muy importante y famosa
Ella tuve dos Nobel Prizes	Ella tuvo dos premios Nobel
Ella fue la primira mujer para tener un Nobel Prize	Ella fue la primera mujer para ganar un premio Nobel
Ella tuve un Nobel Prize in física y qímica	Ella recibió un premio Nobel en física y química
Ella es la sola persona que tuve dos Nobel Prizes en dos ciencios	Ella es la única persona que recibió dos premios Nobel en dos ciencias
Marie Curie nació en mil ochosiento sesenta y siete en Warsaw, Poland	Marie Curie nació en mil ochocientos sesenta y siete en Warsaw, Polonia
Marie Curie trabajó con su esposo	Marie Curie trabajó con su esposo
Actualmente, fue regular para esposas y esposos trabajan juntos	Actualmente, es regular que esposas y esposos trabajen juntos
Usualmente, nadie conoce que los esposas trabajan también	Usualmente, nadie sabe que las esposas trabajan también
Ciencia es más facíl cuando personas trabajan juntos	La ciencia es más fácil cuando las personas trabajan juntos
Por eso, esposas y esposos trabajeron juntos en la pasada	Por eso, esposas y esposos trabajaron juntos en el pasado
Marie Curie discubrió radioactivity	Marie Curie descubrió la radioactividad
Ella escribó como los nucleuses de atoms cambaron	Ella escribió cómo los núcleos de los átomos cambiaron
Su investigación es muy importante hoy	Su investigación es muy importante hoy en día
También, ella discubrió dos nueve elements	También, ella descubrió dos nuevos elementos
Son solo cien y quince elements	Hay solo ciento quince elementos
Marie Curie discubrió Polonium y Radium	Marie Curie descubrió Polonium y Radium
Ella se llama Polonium porque ella vivó en Poland a una niña	Ella lo llamó Polonium porque ella vivió en Polonia de niña
Ella también ayudó la gente con x-ray máquinas durante World War I	Ella también ayudó a la gente con máquinas de rayos x durante la primera guerra mundial
Cuando ella fue trabajando, nadie entendócomo radioactivity cambió nos cuerpos	Cuando ella trabajaba, nadie entendió cómo la radioactividad cambiaba nuestros cuerpos
Radioactivity hace personas emfermas	La radioactividad contamina a la gente
Marie Curie no entendó tampoco, y ella no tuve ciudado cuando trabajó con radioactivity	Marie Curie no entendió tampoco, y ella no tuvo cuidado cuando trabajó con la radioactividad
Por eso, Marie Curie murió muchos años despuez porque del radioactivity	Por eso, Marie Curie murió muchos años después por la radioactividad
Para mí, pienso que Marie Curie es muy inspiradora	Para mí, pienso que Marie Curie es muy inspiradora
Soy una mejor y una cientifica, y no es facíl para estudiar ciencio y ser un mejor también	Soy mujer y científica, y no es fácil estudiar ciencia y ser mujer también
Si Marie Curie pudo ser un cienticica en la pasada, es más facíl a pensar que you puedo ser un cienticico hoy	Si Marie Curie pudo ser científica en el pasado, es más fácil pensar que yo puedo ser científica hoy
Ella no solo ser una ciencia, pero ella hago muchas cosas importantes para ciencio.	Ella no solo era científica, sino que también hizo muchas cosas importantes para las ciencias.
Hoy les quiero presentar el famoso Cristiano Ronaldo	Hoy les quiero presentar al famoso Cristiano Ronaldo
Él es futbolista	Él es futbolista
É les portugués	Él es portugués
Él es muy guapo y alto	Él es muy guapo y alto
Él tiene los ojos pequeños y marrónes	Él tiene los ojos pequeños y marrones
Él tiene las orejas muy pequeñas	Él tiene las orejas muy pequeñas
Él tiene el pelo negro y corto	Él tiene el pelo negro y corto
Él tiene la nariz grande	Él tiene una nariz grande
Su papa se llama José Dinis Aveiro	Su papa se llama José Dinis Aveiro
Su papá es jardinero	Su papá es jardinero
Su mamá se llama Maria Dolores dos Santos Aveiro	Su mamá se llama Maria Dolores dos Santos Aveiro
Su mamá es cocinera	Su mamá es cocinera
Él tiene dos hermanas y un hermano	Él tiene dos hermanas y un hermano
Su cumpleaños es el cinco de febrero	Su cumpleaños es el cinco de febrero
Él tiene treinta y dos años	Él tiene treinta y dos años
Él no tiene arrugas en la cara	Él no tiene arrugas en la cara
Él es muy fuerte	Él es muy fuerte
Él es generoso y activo	Él es generoso y activo
Él no tiene esposa	Él no tiene esposa
Él tiene un hijo que se llama Cristiano Ronaldo Jr	Él tiene un hijo que se llama Cristiano Ronaldo Jr
Le gusta jugar Futbol con su hijo	Le gusta jugar Fútbol con su hijo
Le gusta salir con sus amigos	Le gusta salir con sus amigos
No le gusta bailar	No le gusta bailar
No le gusta perder	No le gusta perder
También quiero presenter la famosa Shakira	También quiero presentar a la famosa Shakira
Ella es cantante	Ella es cantante
Tiene el pelo rubio y largo	Tiene el pelo rubio y largo
Ella es baja	Ella es baja
Ella tiene los ojos marrónes y grandes	Ella tiene los ojos marrones y grandes
Ella tiene la nariz pequeña y no tiene arrugas	Ella tiene una nariz pequeña y no tiene arrugas
Ella es colombiana	Ella es colombiana
Su cumpleaños es el dos de febrero	Su cumpleaños es el dos de febrero
Ella tiene cuarenta años	Ella tiene cuarenta años
Ella tiene seis hermanos y tres hermanas	Ella tiene seis hermanos y tres hermanas
Le gusta bailar	Le gusta bailar
Le gusta pintar	Le gusta pintar
Ella vive en los Estados Unidos	Ella vive en los Estados Unidos
Ella habla español y inglés	Ella habla español e inglés
Ella es muy interesante y sincera	Ella es muy interesante y sincera
Ella tiene un novio que se llama Gerard	Ella tiene un novio que se llama Gerard
Él es futbolista y muy alto	Él es futbolista y es muy alto
Ella tiene dos hijos que se llaman Milan and Sasha	Ella tiene dos hijos que se llaman Milan and Sasha
Milan tiene cuatro años	Milan tiene cuatro años
Sasha tiene dos años	Sasha tiene dos años
Ellos nacieron en Barcelona.	Ellos nacieron en Barcelona.
Hola! Me llammo *FIRST_NAME*! Como se dice 'famous person'? Gracias Google, 'famous person' es persona famosa en espanola	¡Hola! ¡Me llamo *FIRST_NAME*! ¿Cómo se dice 'famous person'? Gracias Google, 'famous person' es persona famosa en español
Yo no persona famosa	Yo no soy una persona famosa
Yo persona regular	Yo soy una persona regular
Yo no quiero ser persona famosa mas o menos	Yo no quiero ser una persona famosa más o menos
Mis abuelos son personos famosos	Mis abuelos son personas famosas
Me abuela canta y baila	Mi abuela canta y baila
Me abuelo es famoso porque la guitarra	Mi abuelo es famoso porque toca la guitarra
La casa de mis abuelos esta al lado del 7/11	La casa de mis abuelos está al lado del 7/11
Mi abuelo toca la guitarra en el centro comercial	Mi abuelo toca la guitarra en el centro comercial
Mis abeullos es mui interesante y yo es mui aburrido	Mis abuelos son muy interesantes y yo soy muy aburrido
Yo estudiar ingenieria en la *UNIVERSITY*	Yo estudio ingeniería en la *UNIVERSITY*
Yo tengo a la escuela todos los dias	Yo voy a la escuela todos los días
Yo estudio en las biblioteco, no me convertire en famos	Yo estudio en la biblioteca, no seré famoso
Trabajo en los dias de semana y la gente famosa trabaja el fin de semana	Trabajo los días de la semana y la gente famosa trabaja el fin de semana
Yo tengo nada para ser famoso	Yo no tengo nada para ser famoso
Vivire mi vida no famosa	Viviré mi vida no famosa
Esta bien, creo que las personas famosas son estupidas	Está bien, creo que las personas famosas son estúpidas
Incluso mis abeulos	Incluso mis abuelos
La fama va a tu cabeza	La fama va a tu cabeza
Me gusta el trabajo de algunas peronsas famosas	Me gusta el trabajo de algunas personas famosas
Me gusta escuchar musica de personas famosas	Me gusta escuchar música de personas famosas
No se que mas decir de la gente famosa	No sé qué más decir de la gente famosa
No me gustan, pero me gusta su trabajo	No me gustan, pero me gusta su trabajo
Si usted es famoso, has trabajado muy duro y eso es bueno	Si usted es famoso, ha trabajado muy duro y eso es bueno
Las personas famosas tienen mucho dinero	Las personas famosas tienen mucho dinero
Tienen casas grandes y muchos amigos falsos	Tienen casas grandes y muchos amigos falsos
Las personas famosas viven vidas interesantes	Las personas famosas viven vidas interesantes
La gente famosa toma el sol para los buenos cuerpos	La gente famosa toma el sol para los buenos cuerpos
Gente famosa levanta pesas para cuerpos buenos	La gente famosa levanta pesas para buenos cuerpos
Tel vez algun dia sere famoso por la ingenieria o no	Tal vez algún día seré famoso por la ingeniería o no
No se	No sé
Solo el tiempo dira	Sólo el tiempo dirá
No sere famoso.	No seré famoso.
Una persona famosa que me gusta mucho es Frida Kahlo	Una persona famosa que me gusta mucho es Frida Kahlo
Ella es muy conocido en la comunidad de Mexicanos	Ella es muy conocido en la comunidad mexicana
Ella era pintor y sus pinturas más famosas son sus autorretratos	Ella era pintor y sus pinturas más famosas son sus autorretratos
Las pinturas de Kahlo fueron inspiradas por la cultura Mexicana y algunas temas de estas pinturas son género, raza y las clases sociales	Las pinturas de Kahlo fueron inspiradas por la cultura Mexicana y algunas temas de estas pinturas son el género, la raza y las clases sociales
Algunas se llaman “The Two Fridas” y “The Broken Column.” Kahlo empezó pintar cuando ella estuvo en un accidente de bus	Algunas de ellas se llaman “The Two Fridas” y “The Broken Column.” Kahlo empezó a pintar cuando ella estuvo en un accidente de bus
Antes del accidente Kahlo quería ir a la escuela de médico	Antes del accidente Kahlo quería ir a la escuela de medicina
Ella necesitó descansar mucho and y por eso ella usó el tiempo libre para su arte	Ella necesitó descansarse mucho and y por eso ella usó el tiempo libre para su arte
Kahla nunca recuperó completamente y el dolor que ella sentaba fue una tema popular de sus pinturas	Kahlo nunca se recuperó completamente y el dolor que ella sentía fue un tema popular de sus pinturas
Su esposo era Diego Rivera quien es otro pintor muy famoso	Su esposo era Diego Rivera quien es otro pintor muy famoso
Al principio, ella era conocido solo por esta razón	Al principio, ella era conocido solo por esta razón
El matrimonio entre ellos era muy malo porque había muchos amoríos	El matrimonio entre ellos era muy malo porque había muchos amoríos
Ella tuvo su primer exhibición de arte en Nueva York en 1938 y tuvo otro en París en 1939	Ella tuvo su primera exhibición de arte en Nueva York en 1938 y tuvo otra en París en 1939
Más tarde en su vida, ella empezó a enseñar como pintar	Más tarde en su vida, ella empezó a enseñar a pintar
Después de su muerte en 1954 ella ganó más respeto por su arte	Después de su muerte en 1954 ella ganó más respeto por su arte
Ella tenía cuarenta y siete años cuando murió	Ella tenía cuarenta y siete años cuando murió
Yo sé que algunas personas no le gusta Frida Kahlo porque ella se identificó como una Comunista pero pienso que es importante recordar que le vivía en un tiempo cuando México tenía una dictador	Yo sé que a algunas personas no les gusta Frida Kahlo porque ella se identificó como una comunista pero pienso que es importante recordar que vivía en un tiempo cuando México tenía dictador
Pienso que ella es un inspiración porque ella era feminista and no tenía miedo sobre concordando con las reglas del sociedad.	Pienso que ella es una inspiración porque ella era feminista and no tenía miedo de luchar contra las reglas de la sociedad.
Selena Quintanilla fue un idolo que marco las vidas de muchas personas	Selena Quintanilla fue un ídolo que marcó la vida de muchas personas
A ella la nombraron la “Reina de la música Tejana”	A ella la nombraron la “Reina de la música Tejana”
Sus fans la adoraban mucho porque fue influyente en la forma de que ella era Mexicana Americana	Sus fans la adoraban mucho porque fue influyente en la forma de que ella era Mexicana Americana
Ella tuvo que enfrentarse a muchos obstáculos porque muchas personas la criticaban por querer ser una mujer cantante en el género de la música de Tejanos	Ella tuvo que enfrentarse a muchos obstáculos porque muchas personas la criticaban por querer ser una mujer cantante en el género de la música de Tejanos
Este género era dominado por los hombres	Este género era dominado por los hombres
Sin embargo, esto no hizo que Selena se diera de vencida	Sin embargo, esto no hizo que Selena se diera de vencida
Selena llegó a ser muy popular y le ganó los corazones a muchas personas con sus diferentes canciones como “Como la flor” y “Amor Prohibido”	Selena llegó a ser muy popular y les ganó los corazones a muchas personas con sus diferentes canciones como “Como la flor” y “Amor Prohibido”
Siendo Americana Mexicana Selena pudo ofrecer música en español y en inglés	Siendo mexicana americana Selena pudo ofrecer música en español y en inglés
Su vida como cantante comenzó desde chica, incluso, su padre formó el grupo “Selena y los Dinos”	Su vida como cantante comenzó desde chica, cuando su padre formó el grupo “Selena y los Dinos”
Ella ganó su popularidad cantando con sus hermanos en ferias y cumpleaños	Ella ganó su popularidad cantando con sus hermanos en ferias y cumpleaños
Su padre, Abraham Quintanilla era muy estrictos con sus hijos y querría que ellos siguieran siendo músicos	Su padre, Abraham Quintanilla era muy estricto con sus hijos y quería que ellos siguieran siendo músicos
Esto causó que tuviera problemas con su educación, porque era muy difícil equilibrar la música y la educación	Esto causó que tuviera problemas con su educación, porque era muy difícil equilibrar la música y la educación
De todos modos, Selena llegó a recibir su diploma y llegó a el colegio a estudiar administración de negocios	De todos modos, Selena llegó a recibir su diploma y llegó a la universidad a estudiar administración de negocios
Su fama crecía y muchos la acusaban de ser muy provocativa con su forma de vestir	Su fama crecía y muchos la acusaban de ser muy provocativa con su forma de vestir
El padre de Selena también llegó a estar enojado porque no le gustaba que Selena se vistiera en ese modo	El padre de Selena también llegó a estar enojado porque no le gustaba que Selena se vistiera en ese modo
Por otra parte, el vestimiento de Selena la hizo especial, porque rechazó cualquier norma de decía que las mujeres no se pudieran vestir así	Por otra parte, el vestimento de Selena la hizo especial, porque rechazó cualquier norma que decía que las mujeres no se pudieran vestir así
Selena tenía muchos intereses como ser diseñadora de ropa y también era activa en la comunidad de los Latinos empujando a los estudiantes que siguieran estudiando	Selena tenía muchos intereses como ser diseñadora de ropa y también era activa en la comunidad de los Latinos empujando a los estudiantes que siguieran estudiando
Desafortunadamente, su vida llegó a un fin porque su mejor amiga Yolanda Saldívar la mató después de un enfrentamiento porque Yolanda se estaba robando el dinero y la corrieron como empleada	Desafortunadamente, su vida llegó a un fin porque su mejor amiga Yolanda Saldívar la mató después de un enfrentamiento porque Yolanda se estaba robando el dinero y la manipulaba como empleada
Yolanda le disparó a Selena y acabó con su vida	Yolanda le disparó a Selena y acabó con su vida
Selena tenía tan solo veintitrés años	Selena tenía tan solo veintitrés años
Aunque, su muerte ocurrió muy temprano el legado de Selena sigue viviendo entre los corazones de todos sus admiradores.	Aunque su muerte ocurrió muy temprano el legado de Selena sigue viviendo entre los corazones de todos sus admiradores.
Una person famosa que sé es Tom Cruise	Una persona famosa que conozco es Tom Cruise
Él es un actor famoso que trabaja y vive en los Estados Unidos	Él es un actor famoso que trabaja y vive en los Estados Unidos
Cruise nacío en Syracuse, Nueva York	Cruise nació en Syracuse, Nueva York
Él tiene cincuenta y cuatro años y es moreno, alto, delgado y guapo	Él tiene cincuenta y cuatro años y es moreno, alto, delgado y guapo
Él es extrovertido, activo y responsable	Él es extrovertido, activo y responsable
Él es americano, alemán e irlandés	Él es americano, alemán e irlandés
Cruise tiene tres hermanas también	Cruise tiene tres hermanas también
Cruise tiene un primo que actua también por su profesión	Cruise tiene un primo que actúa también en su profesión
Cruise ha tenido tres esposas y tiene tres hijos: dos hijas y un hijo	Cruise ha tenido tres esposas y tiene tres hijos: dos hijas y un hijo
Su familia se mudío mucha cuando Cruise era pequeño entre Canadá y los Estados Unidos y él fue a muchas escuelas diferentes	Su familia se mudaba mucho cuando Cruise era pequeño entre Canadá y los Estados Unidos y él fue a muchas escuelas diferentes
La mamá de Cruise era muy atento pero el papá de Cruise era malo	La mamá de Cruise era muy atenta pero el papá de Cruise era malo
A Cruise le gustaba jugar los deportes como fútbol americano y actuar con sus amigos cuando era pequeño	A Cruise le gustaba jugar los deportes como fútbol americano y actuar con sus amigos cuando era pequeño
Cruise creyó en catolicismo pero ahora cree en cienciología y es un activista	Cruise creyó en catolicismo pero ahora cree en cienciología y es un activista
Cuando Cruise tenía diecinueve años, él empezó a actuar para películas grandes	Cuando Cruise tenía diecinueve años, él empezó a actuar en películas grandes
Después él actuó en algunas películas, a muchas personas les gustaba él y él siempre ha trabajado como un actor	Después de estas películas, a muchas personas les gustaba él y él siempre ha trabajado como un actor
Ahora, Cruise trabaja en muchas películas como Top Gun, Mission Impossible y Edge of Tomorrow y ha trabajado en más de cuarenta películas	Ahora, Cruise trabaja en muchas películas como Top Gun, Mission Impossible y Edge of Tomorrow y ha trabajado en más de cuarenta películas
Cruise tiene casi treinta premios por las películas que él ha hecho	Cruise tiene casi treinta premios por las películas que él ha hecho
Yo creo que Cruise sea un actor bueno pero sus creencias son cuestionables a veces	Yo creo que Cruise es un buen actor pero sus creencias son cuestionables a veces
Él se ha metido en problemas muchas y ojalá que él se converte una persona mejor.	Él se ha metido en muchos problemas y ojalá que él se convierta en una persona mejor.
Una persona famosa es alguien que es conocido por ambas personas	Una persona famosa es alguien que es conocido por todo el mundo
Las razón por cual alguien es , o puede ser, famoso o famosa se base en un bastante de diferentes maneras	La razón por la cual alguien es, o puede ser, famoso o famosa se basa en una variedad de diferentes cosas
Es por eso que vemos a unas personas muy interesantes que se hacen famosas	Es por eso que vemos a unas personas muy interesantes que se hacen famosas
Una de las mas famosas personas que conozco en los Estados Unidos es Danielle Bregoli	Una de las personas más famosas que conozco en los Estados Unidos es Danielle Bregoli
Ella se hizo famosa por un programa de televisión llamado The Dr	Ella se hizo famosa por un programa de televisión llamado The Dr
Phil Show	Phil Show
En ese programa de televisión siempre hay personas como Danielle que son adolescentes con problemas familiares	En ese programa de televisión siempre hay personas como Danielle que son adolescentes con problemas familiares
Pero en el caso de Danielle ella se separa de los demás porque ella le contesto a Dr	Pero en el caso de Danielle ella se sobresalió de los demás porque ella le contestó a Dr
Phil con una frase muy chistosa y contagiosa	Phil con una frase muy chistosa y contagiosa
Su frase “Cash me outside, how bout dat ” se a convertido una tendencia por los redes sociales que eso memes y videos chistosos de ella	Su frase “Cash me outside, how bout dat ” se ha convertido en una tendencia en las redes sociales y por eso hay memes y videos chistosos de ella
De danta cantidad de fama que agrego por el internet, se va hacer millonaria a para el otro ano aunque ella solo tiene 13 anos	De la cantidad de fama que agregó por internet, se va a hacer millonaria para el año que viene aunque ella solo tiene 13 años
En cambio hay otras maneras de que una persona se famosa por ejemplo Floyd Mayweather	En cambio hay otras maneras de que una persona se hace famosa, como por ejemplo Floyd Mayweather
El es el mas famoso por el role que tiene en el deporte de Boxeo	Él es muy famoso por el rol que tiene en el deporte de Boxeo
El no a perdido ninguna pelea en todo su carera	Él no ha perdido ninguna pelea en toda su carrera
Debido a que no a perdido, el a ganado mucho dinero	Debido a que no ha perdido, él ha ganado mucho dinero
El es conocido por todo el mundo y fue el atlética mas pagado en el ano 2015 donde el gano 300 millones	Él es conocido por todo el mundo y fue el atleta mejor pagado en el año 2015 cuando él ganó 300 millones
En general la fama es relacionada con el dinero.	En general la fama está relacionada con el dinero.
Hoy voy a hablar de Selena Gómez	Hoy voy a hablar de Selena Gómez
Ella es muy hermosa	Ella es muy hermosa
Selena Gómez tiene 24 años y es cantante y compositora	Selena Gómez tiene 24 años y es cantante y compositora
Ella es actriz	Ella es actriz
Ella cumpleaños es el 22 de Julio, 1992	Su cumpleaños es el 22 de julio, 1992
Ella es Hispania y Italiana	Ella es hispánica e italiana
Ella solía ser la estrella del show de Disney 'Wizards of Waverly Place.' Ella miró en la película “ Another Cinderella Story” con actor Drew Seeley	Ella era la estrella del show de Disney 'Wizards of Waverly Place.' Ella salió en la película “ Another Cinderella Story” con el actor Drew Seeley
